title,url,summary,category,source,full_content,cluster_label
Bella Ramsey backs keeping best actress awards,https://www.bbc.com/news/articles/cgm8mny9k1mo,"The star, who is non-binary, says it's important that ""recognition for women in the industry is preserved"".",arts_culture_celebrities,bbc,"The Last of Us star Bella Ramsey has voiced support for awards shows keeping separate categories for male and female performers.

The British star, who identifies as non-binary and asks to be referred to with they/them pronouns, said it was important that ""recognition for women in the industry is preserved"".

""But then, where do non-binary or gender non-conforming people fit into that? I don't know,"" Ramsey added.

Ramsey has been nominated for best actress at the Baftas and Emmys. Other ceremonies such the MTV and Brit Awards have switched to all-encompassing gender-neutral prizes as the entertainment industry grapples with how non-binary actors should be treated by awards shows.

Organisers of the Oscars said last year they were ""exploring"" the idea of merging the best actor and actress categories.

Ramsey told Louis Theroux's podcast: ""If people call me an actress, I have a guttural 'ugh, that's not quite right' instinct to it.

""But I just don't take it too seriously. It doesn't feel like an attack on my identity. It's just a funny thing that doesn't really fit.""

Ramsey said they ""didn't find it insulting"" to be nominated for best actress at the Emmys.

Theroux suggested that having a single category would mean ""basically a lot of women wouldn't get nominated"" - as happened when the Brits scrapped their best male and female categories in favour of a best artist award, and no women were nominated in 2023 .

Ramsey responded: ""I think it's so important that that's preserved - that the recognition for women in this industry is preserved.

""I think the gendered categories conversation's a really interesting one and I don't have the answer. I wish that there was something that was an easy way around it.

""I think that it is really important that we have a female category and a male category - but then, where do non-binary and gender con-conforming people fit into that? I don't know.

""I've literally sat and tried to think my way to the answer, and haven't got there.

""You could do it for the character portrayed - like, best performance in a female character. But then, what about when there are non-binary characters on screen? Which is few and far between at the moment. But where does a non-binary person playing a non-binary character fit in? I don't know. It's really complicated.""

There has also been a move towards referring to all performers as actors rather than using the term actress, but Ramsey said many people prefer to be called an actress ""and are really comfortable in that"".

""I've always just called myself an actor, but I don't think that those words [like actress] have to be taken away.""

The 21-year-old said they didn't think about the use of pronouns until The Last of Us started in 2023, ""and it was a question that I had and suddenly I had to choose"".

""I was so stressed out about it because I didn't know, and I didn't really care.""

Ramsey said they rejected the term non-binary ""for so long"" because they didn't want to be seen as being ""trendy"".

""It was just something that had been very obvious since I was young. I'd always call myself a tomboy, but it wasn't that I was like a boyish girl. I was always a bit of an inbetween, leaning more to the boy's side to be honest.

""I feel like I grew up more as a little boy than I did a little girl. I always felt more masculine or... yeah, more on that side of the spectrum, I guess.""

The question of how to categorise awards has been a long-running debate in the entertainment industry.

Currently, most awards shows invite actors to submit themselves for the category they feel comfortable in.

In 2022, The Crown's Emma Corrin, who identifies as non-binary, told BBC Radio 4's Today programme : ""I don't think the categories are inclusive enough at the moment. It's about everyone being able to feel acknowledged and represented.""

In 2023, Yellowjackets star Liv Hewson, also non-binary, didn't enter the Emmys, saying : ""There's not a place for me in the acting categories. It would be inaccurate for me to submit myself as an actress. It neither makes sense for me to be lumped in with the boys.""

Others worry that gender-neutral categories would lead to women being underrepresented. After having all-male nominees for best artist in 2023, the Brits expanded the prize's shortlist from five to 10 acts.

Trans actors are not affected by the issue, with Elliot Page being eligible for best actor and Karla Sofía Gascón for best actress.",2
Call the Midwife film and prequel series announced,https://www.bbc.com/news/articles/c93g3ldd20vo,The new film and prequel series come as filming for the fifteenth series of the drama begins.,arts_culture_celebrities,bbc,"The BBC has announced plans to make a Call the Midwife film as well as a prequel TV series set during the Second World War.

It comes as filming begins for the 15th series of the BBC One drama, which follows a group of nurse midwives working in London's East End from the late 1950s to the start of the 1970s.

The film will be set in an as-yet undisclosed overseas location in 1972, and will feature characters from the existing TV show.

Meanwhile, the separate prequel series will ""delve into the deeper past"", showrunner Heidi Thomas said, offering a view of life in Poplar, east London, during the Blitz.

The new, separate film and prequel projects will be written, created and produced by Thomas and executive producers Dame Pippa Harris and Ann Tricklebank, who will also oversee the production of series 16 of the programme together.

The prequel series will feature ""some familiar (if much younger) faces"", Thomas said.

She said that while she has ""never run out of stories for our midwives"", she had found herself ""yearning to delve into the deeper past"" than the years 1957 to 1971 which have been covered by the show.

""The Blitz years in the East End were extraordinary - filled with loss, togetherness, courage and joy,"" she said.

Meanwhile, the film will see the ""much-loved"" regular characters ""take a short break from Poplar and test themselves in an unfamiliar landscape"", Ms Thomas said.

The location of the film remains ""top secret"", she added - but said it would look ""absolutely fantastic"" on the big screen.

The first series of the show was originally inspired by the memoirs of Jennifer Worth, who worked as a midwife and nurse in the community in Poplar.

Dame Pippa said the prequel series and film project were being made partly for a ""new, younger generation who have also fallen in love with our characters and the challenges they face.""

The 15th series will begin with a two-part Christmas special which will see characters travelling to Hong Kong on a mercy mission.",2
Final shortlist revealed for Queen Elizabeth memorial,https://www.bbc.com/news/articles/c9w8wlqxxl0o,The memorial commemorating the monarch will be built at St James's Park in central London.,arts_culture_celebrities,bbc,"A final shortlist of five proposed designs for the national memorial to Queen Elizabeth II has been revealed by the government.

The memorial, commemorating the life of Britain's longest-reigning monarch who died in September 2022, will be built in St James's Park in central London.

Illustrations of the design concepts are being put online by the Cabinet Office and the public will be invited to have their say about the ideas for the major new monument.

Three of the five proposed designs feature the late Queen riding a horse, reflecting her lifelong enthusiasm for equestrianism.

There are other features proposed by the competing teams of artists and architects, such as incorporating recordings of the late Queen's voice into a memorial, and large sculptures of lilies around a figure of the late Queen.

One of the proposed designs uses an oak tree to represent Queen Elizabeth's strength and resilience. Another suggests building symbolic pathways and a pair of bridges over the lake in the park.

The winning entry will be chosen later this year, but there is no date yet set for when the finished memorial will be unveiled. The construction budget will be between £23m and £46m, depending on the selected design, says the Cabinet Office.

The public will get a chance to say whether they want a more traditional representation of the late Queen, or something more experimental, in what will become an important London landmark.

The new memorial will be placed not too far from statues of the late Queen's parents, King George VI and Queen Elizabeth, the Queen Mother.

Also nearby is the memorial to Queen Victoria outside Buckingham Palace.

The location for the monument will be a section of St James's Park close to the Mall and across to a bridge over a lake in the park. The entries include plans to landscape and redesign this area and the construction process is expected to mean replacing the current bridge.

The memorial scheme will also provide community projects and facilities around the country.

This will follow in the tradition of legacy schemes such as the King George V Playing Fields, which saw almost 500 sports grounds opened in memory of the monarch who died in 1936.

Many of those playing fields are still in use, dotted around the country.

The public is being encouraged to contribute ideas about the memorial and to give feedback on the shortlisted designs.

""We want public engagement, we want the public to comment on these proposals, because we want them to feel part of it,"" said Baroness Amos, a member of the committee which will select the design to be built.

""So much of what the late Queen was about was meeting people and engaging with them,"" she said.

Baroness Amos, a former leader of the House of Lords, said the memorial should be a fitting tribute to the late Queen, who died at the age of 96 after seven decades on the throne.

""This is about an extraordinary woman and an extraordinary reign, about her commitment to public service, her duty, her commitment to the community, to the nation and the Commonwealth,"" she said.

Sign up here to get the latest royal stories and analysis every week with our Royal Watch newsletter. Those outside the UK can sign up here .",2
Smokey Robinson accused of sexual assault by four women,https://www.bbc.com/news/articles/cdxgx40qvwpo,The Motown legend is being sued for $50m by four women who accuse him of sexual assault and rape.,arts_culture_celebrities,bbc,"Four anonymous housekeepers are suing Motown legend Smokey Robinson for $50 million (£37 million), accusing him of sexual assault.

A complaint filed in Los Angeles superior court accuses the 85-year-old of sexual battery, false imprisonment, negligence and gender violence, in addition to a number of labour violations related to wages, breaks, meal times and overtime pay.

The lawsuit also names Robinson's wife, Frances Robinson, claiming she contributed to a hostile work environment, and used ""ethnically pejorative words and language"".

Representatives for the Robinsons did not immediately respond to requests for comment, and the accusations could not be independently verified.

Robinson was Motown's first hitmaker, writing number one hits like Mary Wells' My Guy and the Temptations' My Girl.

Born William Robinson Jr in Michigan, he was both a talent scout for the record label and one of its most prominent recording artists, known for songs like Tracks of My Tears, Shop Around and Tears of a Clown.

He has spots in both the Rock and Roll Hall of Fame and the Songwriters Halls of Fame, and claims to have credits on more than 4,000 songs.

Robinson's reputation and stature was an intimidating factor for his accusers, who were made to feel ""powerless"", their lawyer said at a press conference in Los Angeles.

""They're Hispanic women who were employed by the Robinsons earning below minimum wage,"" said John Harris.

""As low-wage women in vulnerable positions, they lacked the resources and options necessary to protect themselves from sexual assaults.""

The women are suing under the pseudonyms Jane Doe 1, 2, 3 and 4, due to the sexual misconduct allegations, including rape, being levelled against the musician.

Three are former housekeepers and one was the singer's personal assistant, cook and hairdresser, according to court documents.

In the lawsuit, all four women claim that Robinson would summon them to various areas of his properties in Chatsworth, Bell Canyon and Las Vegas, at times when his wife was away.

Sometimes emerging naked from a shower, he forced them to have various types of sex over a number of years, starting in 2006, the lawsuit alleges.

Jane Does 1, 3 and 4 all allege Robinson sexually assaulted them in the ""blue bedroom"" of his Chatsworth residence, claiming he would lay down a towel to protect the bed sheets prior to the assaults.

Jane Doe 2's allegations state that Robinson raped her in the laundry room and garage of his Chatsworth residence, where closed-circuit cameras were unable to see.

The women claim that during the alleged assaults, Robinson used physical barriers and threats of force to prevent them from fleeing.

The lawsuit also includes several allegations of workplace violations.

All four women say they worked 10 hours a day, for six days a week without being paid minimum wage or overtime. They also claim to have worked holidays without receiving a holiday rate.

According to their lawsuit, the employees all quit because of the alleged sexual misconduct and hostile work environment.

The BBC has contacted Robinson's representatives for a response to the lawsuit.

No police reports or criminal charges have been filed against the musician.

A spokesperson for Los Angeles County District Attorney said the women's claims were not under review because law enforcement had not presented a case.

Los Angeles police said they had no statement on the matter.",2
US and China to start talks over trade war this week,https://www.bbc.com/news/articles/c8rgrejkvmjo,Global trade experts have told the BBC they expect the negotiations to take several months.,business,bbc,"US and Chinese officials are set to start talks this week to try to deescalate a trade war between the world's two biggest economies.

Chinese Vice Premier He Lifeng will attend the talks in Switzerland from 9 to 12 May, China's Ministry of Foreign Affairs says.

US Treasury Secretary Scott Bessent and US Trade Representative (USTR) Jamieson Greer will represent Washington at the meeting, their offices announced.

Since returning to the White House, President Donald Trump has imposed new import taxes on Chinese goods of up to 145%. Beijing has hit back with levies on some goods from the US of 125%.

But global trade experts have told the BBC that they expect negotiations to take several months.

It will be the first high-level interaction between the two countries since Chinese Vice-President Han Zheng attended Trump's inauguration in January.

Mr Bessent said he looked forward to rebalancing the international economic system to better serve the interests of the US.

""My sense is that this will be about de-escalation, not about the big trade deal, but we've got to de-escalate before we can move forward,"" he said in an interview with Fox News.

""If the United States wants to resolve the issue through negotiations, it must face up to the serious negative impact of unilateral tariff measures on itself and the world,"" a Chinese commerce ministry spokesperson said on Wednesday morning.

Chinese state media reported that Beijing had decided to engage with the US after fully considering global expectations, the country's interests and appeals from American businesses.

The report added that China is open to talks but reiterated that if the country decides to continue to fight this trade war – it will fight to the end.

The trade war has triggered turmoil in financial markets and sent shockwaves across global trade.

Two trade experts told the BBC that they were not particularly optimistic about the talks, at least in the initial phase.

""You have to start somewhere, so I'm not saying it isn't worthwhile. Just unlikely to be the launch event people are hoping to see,"" said Deborah Elms, Head of Trade Policy at the Hinrich Foundation.

""We should expect to see a lot of back and forth, just like what happened last time in 2018,"" Henry Gao, Professor of Law at Singapore Management University and a former Chinese lawyer on the World Trade Organization secretariat said.

""I would expect the talks to drag on for several months or even more than a year"".

Financial markets in mainland China and Hong Kong rose on Wednesday as investors reacted to the news as well as  announcements by Chinese authorities of measures to support the economy.

US stock futures were also higher. Futures are contracts to buy or sell an underlying asset at a future date and are an indication of how markets will trade when they open.

Investors are also waiting for the US central bank to make its latest announcement on interest rates on Wednesday afternoon.

Additional reporting by Bianca Mascarenhas

Follow the twists and turns of Trump's second term with North America correspondent Anthony Zurcher's weekly US Politics Unspun newsletter. Readers in the UK can sign up here . Those outside the UK can sign up here .",0
Car giant Ford and Barbie maker Mattel warn over tariffs costs,https://www.bbc.com/news/articles/cly1e7ll07do,The firms join a growing list of big businesses cautioning about the impact of Trump's import taxes.,business,bbc,"Barbie maker Mattel says it will put up the prices of some of its toys in the US as President Donald Trump's tariffs increase its costs.

The firm also says it will cut the number of products it makes in China for the American market.

At the same time, car making giant Ford says the levies will cost it about $1.5bn (£1.13bn) this year.

They join a growing list of big businesses warning about the impact of US tariffs on their companies and the wider economy.

""Given the volatile macroeconomic environment and evolving US tariff landscape, it is difficult to predict consumer spending, and Mattel's US sales in the remainder of the year and holiday season,"" Mattel said as it updated investors on its financial performance.

The US accounts for about half of Mattel's global toy sales. It imports around 20% of its goods sold there from China.

The company said it plans to reduce those Chinese imports to the US to below 15% by next year.

Since returning to the White House in January, Trump has imposed new import taxes of up to 145% on goods from China.

His administration said last month that when the new tariffs are added on to existing ones, the levies on some Chinese goods could reach 245%.

China has hit back with a 125% tax on products from the US.

Apart from China, Mattel imports products – including Barbie dolls and Hot Wheels cars – from Indonesia, Malaysia and Thailand.

The three countries were also hit with steep tariffs by Trump in April, before they were paused for 90 days.

Last week, Trump acknowledged the potential impact of tariffs. American children might ""have two dolls instead of 30 dolls"", he said, but added that China would suffer more than the US.

Carmaker Ford said it expected tariffs to add $2.5bn to its overall costs this year, mainly due to the increased expense of Mexican and Chinese imports.

But the firm said it had cut about $1bn of those added costs by taking various measures, including transporting vehicles from Mexico to Canada to avoid US tariffs.

The firm also suspended its annual earnings guidance to investors because of uncertainty around Trump's trade policies.

In April, firms including technology giant Intel, footwear makers Adidas and Skechers, and consumer goods group Procter & Gamble detailed the impact of tariffs on their businesses.

""The very fluid trade policies in the US and beyond, as well as regulatory risks, have increased the chance of an economic slowdown with the probability of a recession growing,"" Intel's chief financial officer David Zinsner said during a call with investors.

Sportswear giant Adidas warned tariffs would lead to higher prices in the US for popular trainers, including the Gazelle and the Samba.

The finance chief of footwear firm Skechers, David Weinberg, told investors: ""The current environment is simply too dynamic from which to plan results with a reasonable assurance of success.""

And Procter & Gamble – which makes Ariel laundry detergent, Head & Shoulders shampoo and Gillette shaving products – said it was considering changes to its prices to make up for the extra cost of materials sourced from China and other places.",0
UK's Deliveroo to be bought by US firm DoorDash in £2.9bn deal,https://www.bbc.com/news/articles/c5yr1nz7jwko,The deal is the latest example of a UK-listed company being taken over by a US rival.,business,bbc,"Deliveroo, the food delivery app, has agreed to be taken over by US giant DoorDash in a deal valuing the business at £2.9bn.

The combined company will have a presence in more than 40 countries serving about 50 million customers per month.

The tie-up is also expected to provide fierce competition to rivals Just Eat and Uber Eats in the UK.

However, the deal is the latest example of a UK-listed company being taken over by a US firm, fuelling further concerns over UK investment.

DoorDash is offering 180p per Deliveroo share, which marks a 44% increase on the UK company's share price from the point when takeover talks were made public last month.

However, it is well below the 390p share price that Deliveroo first floated at when it launched on the London Stock Exchange in April 2021.

""The combination with Deliveroo will strengthen DoorDash's position as a leading global platform in local commerce,"" the two firms said.

Will Shu, chief executive and co-founder of Deliveroo, said he was ""very proud of everything we have achieved as a standalone business"".

However, he said the deal with DoorDash, which is based in San Francisco, was ""transformative"".

""The enlarged group will have the scale to invest in product, technology and the overall consumer value proposition.""

The takeover is to be put forward to shareholders for final approval. Mr Shu, is set to receive about £172.4m for his 6.4% stake.

Deliveroo, which was co-founded by Mr Shu in 2013, operates in nine countries with more 130,000 delivery riders. It provides a food delivery service by linking restaurants with customers through an app. It also supplies groceries.

It made sales of about £2bn in 2024, while DoorDash, which was set up in the same year, made some £8bn last year through its operations in more than 30 countries.

The companies both started out as food delivery services, offering customers convenient and quick access to a range of restaurants and takeaways, but DoorDash has grown into a much bigger business.

DoorDash has seen its value soar after listing in the US, compared to Deliveroo, which has been listed in the UK.

The takeover raises further questions for the London Stock Exchange, which has lost another big name to a US company.

As well as takeovers, UK-listed firms worth hundreds of billions of pounds have been quitting the London Stock Exchange for the US over the past few years, prompting concerns over how attractive the UK is for investment.

These include Cambridge-based microchip giant Arm Holdings, which now sells its shares in New York, Paddy Power's owner Flutter and equipment hire giant Ashtead.

One of Deliveroo's first backers, Danny Rimer of Index Ventures, previously told the BBC that if he had his time again he would have voted for a US listing.

News of a potential agreement between the firms emerged just over a week ago, and sent Deliveroo's share price up sharply.

Matt Britzman, senior equity analyst at Hargreaves Lansdown, said DoorDash was aiming to ""squeeze out"" rivals such as Just Eat and ""rattle Uber"" in the UK.

""The deal, expected to close later this year, could turn the UK market into a fierce two-horse race with DoorDash and Uber at the top,"" he added.

""With no competing bid in sight, this looks like a bold, calculated move to outpace global rivals and gain ground fast.""",0
Maker of Pegasus spyware told to pay $167m for WhatsApp hack,https://www.bbc.com/news/articles/c77n76kzmz4o,Journalists and activists say the software is used by authoritarian regimes to spy on them.,business,bbc,"The firm behind the Pegasus spyware has been ordered to pay WhatsApp $167m (£125m) for hacking 1,400 people in 2019.

Pegasus is malicious software which can be installed remotely on mobile phones to access, among other things, people's microphones and cameras.

NSO Group, which sells the tech, has been accused of enabling authoritarian regimes to monitor journalists, activists and even political figures.

WhatsApp owner Meta said it marked the ""first victory against the development and use of illegal spyware"".

NSO said it would ""carefully examine the verdict's details and pursue appropriate legal remedies, including further proceedings and an appeal“.

It is the first time a developer of spyware has been held responsible for exploiting the weaknesses in smartphone platforms.

NSO Group says the tech is only meant to be for use against serious criminals and terrorists. But there are accusations the tech has been used by some countries to target anyone they deem a national security threat.

Pegasus became a scandal in 2021 when a list of 50,000 phone numbers of suspected victims of hacking was leaked to major media outlets.

From this list, global media identified the phone numbers of politicians and heads of state, business executives, activists, and several Arab royal family members, as well as more than 180 journalists.

It is suspected that Pegasus spyware infected devices belonging to Downing Street and Foreign Office officials , according to Canadian investigative group The Citizen Lab.

Other prominent figures believed to have been hacked include French President Emmanuel Macron , and relations of Jamal Khashoggi , a critic of Saudi Arabia's government who was murdered in the Saudi consulate in Istanbul in October 2018.

NSO Group has also been ordered to pay Meta $444,000 in damages.

The awards come after after a six-year battle between the US social media giant and the Israeli surveillance firm.

""The jury's decision to force NSO to pay damages is a critical deterrent to this malicious industry against their illegal acts aimed at American companies,"" Meta said .

""We firmly believe that our technology plays a critical role in preventing serious crime and terrorism and is deployed responsibly by authorised government agencies,"" NSO said in a statement.

WhatsApp's success in the case opens up NSO to potential legal action from other technology giants whose platforms were targeted with Pegasus spyware.",0
"Act now to win back Red Wall voters, Labour MPs say",https://www.bbc.com/news/articles/cpdzd29x8dno,The call from MPs in northern England and the Midlands comes after a disastrous set of local election results.,politics,bbc,"A group of around 45 Labour MPs have called on the government to ""act now"" to win back voters in northern England and the Midlands.

The Labour Red Wall Group, which represents areas which have traditionally supported the party, said it was not ""weak"" to respond to issues raised by the public, including concern over axing winter fuel payments for millions of pensioners.

Calls to rethink the move and other policies including cuts to disability benefits have been growing after a disastrous set of local election results for Labour last week.

On Tuesday the government insisted it would not reverse the winter fuel cuts and it would not be ""blown off course"" by the ""disappointing"" results.

Labour lost two-thirds of the seats it was defending in council elections in parts of England, as well as a by-election in Runcorn and Helsby.

Reform UK overturned a majority of nearly 15,000 to take the Cheshire seat by just six votes.

In areas like Durham and Doncaster, Labour lost seats to Reform, allowing Nigel Farage's party to take control of the council.

On the left, the party also shed votes to the Greens.

However, Reform, which also seized control of eight councils from the Conservatives, was the big winner of the night and the results have intensified calls for the government to focus on the threat from the party.

The Red Wall encompasses Brexit-supporting areas which fell to the Conservatives in 2019 after decades as Labour strongholds. However, many returned to voting Labour in last year's landslide election victory.

In a statement the group, led by Jo White, the MP for Bassetlaw in Nottinghamshire, said that in the results ""our voters told us loudly and clearly that we have not met their expectations"".

They said Sir Keir Starmer's response that he would ""go further and faster"" in delivering his plans had ""fallen on deaf ears"".

""Responding to the issues raised by our constituents, including on winter fuel, isn't weak it takes us to a position of strength,"" the statement added.

""[The prime minister] must now break the disconnect between Westminster and the Red Wall areas.""

The group also called for the government to ""breakaway from Treasury orthodoxy"" to ensure post-industrial towns ""get the investment we desperately need"".

""Labour cannot afford to lose the Red Wall again as it reopens the route to a future of opposition and an existential crisis. Without Red Wall constituencies we are not the Labour Party,"" they said.

""The government has to act now before it's too late.""

Former cabinet minister Louise Haigh, who resigned last year over a previous fraud offence , is also among those calling for the government to change its approach following the local elections.

She told BBC Newsnight ""unpopular decisions"" like cuts to winter fuel payments and benefits ""are overshadowing the good ones"".

The Sheffield Heeley MP added that she did not think it was ""completely necessary"" to reverse the winter fuel cuts, but called for an ""economic reset""  and a tax on the wealthiest individuals as an alternative to slashing public spending.

Haigh said she was also worried about benefit cuts and was unlikely to support the proposals in their current form when they are voted on by MPs.

Other senior Labour figures urging policy changes include Welsh First Minister Eluned Morgan , who on Tuesday called for the government to scrap some of the planned benefit cuts and rethink axing winter fuel payments for all but the poorest pensioners.

Labour MPs who oppose the winter fuel cuts believe a reversal of the policy, which was introduced last year, would be a clear sign from the prime minister that he is listening to voters.

However, others closer to government thinking question whether there would be any political benefit to changing course at this stage, believing the damage has already been done.

Criticism of changes to disability benefits, which would make it harder for people to claim Personal Independence Payment (Pip), could become more pressing, with a vote in the House of Commons likely next month.

Given Labour's large majority there is no prospect of the government losing the vote but it could become a focus of broader disaffection.

Responding to the local election results over the weekend, Sir Keir said he shared the ""fury"" felt by voters turning away from the major parties.

The PM insisted he would ""go further and faster"" in delivering Labour's promises to improve public services, as well as tackle immigration and cost-of-living pressures.

Sign up for our Politics Essential newsletter to keep up with the inner workings of Westminster and beyond.",3
"India trade deal could undercut UK workers, opposition parties say",https://www.bbc.com/news/articles/c24q4ng9y11o,"The trade deal gives a tax break to Indian professionals, which critics say undercuts UK businesses.",politics,bbc,"Opposition parties have criticised the new UK-India trade deal, saying it could undercut British workers.

One aspect of the free trade agreement, which Labour says will be worth £5bn a year to the UK , is extending an exemption on national insurance contributions (Nics) from one to three years.

Known as the double contribution convention, this means people on short-term visas will not make social security payments in both the country they work in, and their home country, when working abroad.

Conservatives, Liberal Democrats and Reform have claimed this could mean Indian workers become cheaper to hire than British workers - particularly when UK employer Nics have just been increased.

The Indian government said the exemption was a ""huge win"" and an ""unprecedented achievement"" that ""will make Indian service providers significantly more competitive in the UK"".

The UK has 16 agreements preventing double taxation of work, which cover more than 50 countries - including the US, EU and South Korea - and workers will still be required to pay the NHS immigration surcharge.

Defending the deal, Business Secretary Jonathan Reynolds said the arrangement was limited and only applied to inter-company transfers of professionals between the UK and India.

""This is something we have with a great deal of countries already,"" he said.

""It's very specific as to who this applies to, and obviously if people were in the UK they would still be paying income tax, they would still be paying, for instance, the health surcharge and they wouldn't be eligible for benefits from the National Insurance system.""

Reynolds added that he believed the cost of the double contribution convention, as part of the trade deal, would be a ""net positive"" to the UK Treasury.

The exemption will also apply to British staff, who are increasingly working away from home in India for large corporations.

However, Conservative leader Kemi Badenoch claimed she had refused a similar trade-off when she was business secretary, because the deal contains ""two-tier taxes"" which will cost the UK ""hundreds of millions"".

""I had this deal on the table as trade secretary and I refused to sign it because that double taxation agreement was unfair,"" she said.

""It basically encourages workers from India but does not provide the same benefit to UK citizens.""

Pushed on the fact the UK has similar arrangements with other countries, Badenoch stressed that in those cases there were equivalent numbers of UK nationals working in those countries, whereas that was not the case with India, making the agreement ""very lopsided"" which would result in being a ""net cost to the Treasury.""

Liberal Democrat deputy leader Daisy Cooper said the National Insurance plans were ""half-baked"" and risked damaging UK businesses' competitiveness, particularly  in light of the global trade turmoil sparked by US President Donald Trump.

""This deal risks undercutting British workers at a time when they're already being hammered by Trump's trade war and Labour's misguided jobs tax,"" she said.

""The government's failure to even publish an impact assessment of these changes gives the impression of something that is completely half-baked.

""It shows exactly why Parliament needs the opportunity to debate and vote on trade deals,"" Cooper said.

Reform UK leader Nigel Farage described the deal as ""truly appalling"", adding: ""This government doesn't give a damn about working people.

""The Labour Party has, this time in a big, big way, betrayed working Britain.""

A Labour Party spokesperson said Indian nationals applying for jobs based in the UK would not benefit from the convention, so the tax break does not disadvantage UK workers.

""This deal will provide an annual £4.8bn boost for British businesses, create more jobs, raise wages by more than £2 billion a year and bring down prices for hard-pressed consumers,"" the spokesperson said.

Sign up for our Politics Essential newsletter to read top political analysis, gain insight from across the UK and stay up to speed with the big moments. It'll be delivered straight to your inbox every weekday.",3
